tour_leg,from_point,to_point,distance_m,algorithm,expanded_nodes,computation_time_ms,timestamp
NN_leg_0,depot,P6,300,A*,36,0.10991096496582031,2025-11-13 02:45:02.987719
NN_leg_0,depot,P4,200,A*,36,0.029325485229492188,2025-11-13 02:45:02.987757
NN_leg_0,depot,P1,300,A*,36,0.04220008850097656,2025-11-13 02:45:02.987803
NN_leg_0,depot,P2,200,A*,36,0.022172927856445312,2025-11-13 02:45:02.987829
NN_leg_0,depot,P3,200,A*,36,0.023126602172851562,2025-11-13 02:45:02.987863
NN_leg_0,depot,P5,200,A*,36,0.021696090698242188,2025-11-13 02:45:02.987888
NN_leg_1,P4,P6,300,A*,36,0.08058547973632812,2025-11-13 02:45:02.987977
NN_leg_1,P4,P1,500,A*,36,0.1366138458251953,2025-11-13 02:45:02.988118
NN_leg_1,P4,P2,400,A*,36,0.10561943054199219,2025-11-13 02:45:02.988229
NN_leg_1,P4,P3,200,A*,36,0.035762786865234375,2025-11-13 02:45:02.988269
NN_leg_1,P4,P5,200,A*,36,0.030279159545898438,2025-11-13 02:45:02.988303
NN_leg_2,P3,P6,300,A*,36,0.06818771362304688,2025-11-13 02:45:02.988378
NN_leg_2,P3,P1,300,A*,36,0.072479248046875,2025-11-13 02:45:02.988456
NN_leg_2,P3,P2,200,A*,36,0.05698204040527344,2025-11-13 02:45:02.988518
NN_leg_2,P3,P5,200,A*,36,0.043392181396484375,2025-11-13 02:45:02.988568
NN_leg_3,P2,P6,500,A*,36,0.11587142944335938,2025-11-13 02:45:02.988691
NN_leg_3,P2,P1,100,A*,36,0.0152587890625,2025-11-13 02:45:02.988712
NN_leg_3,P2,P5,400,A*,36,0.07963180541992188,2025-11-13 02:45:02.988798
NN_leg_4,P1,P6,600,A*,36,0.10228157043457031,2025-11-13 02:45:02.988906
NN_leg_4,P1,P5,500,A*,36,0.06031990051269531,2025-11-13 02:45:02.988970
NN_leg_5,P5,P6,100,A*,36,0.010967254638671875,2025-11-13 02:45:02.988985
NN_leg_6,P6,depot,300,A*,36,0.03600120544433594,2025-11-13 02:45:02.989026
NN_leg_0,depot,P6,300,A*,36,0.11467933654785156,2025-11-13 02:45:02.989660
NN_leg_0,depot,P4,200,A*,36,0.027894973754882812,2025-11-13 02:45:02.989695
NN_leg_0,depot,P1,300,A*,36,0.040531158447265625,2025-11-13 02:45:02.989740
NN_leg_0,depot,P2,200,A*,36,0.02193450927734375,2025-11-13 02:45:02.989765
NN_leg_0,depot,P3,200,A*,36,0.021219253540039062,2025-11-13 02:45:02.989789
NN_leg_0,depot,P5,200,A*,36,0.021219253540039062,2025-11-13 02:45:02.989813
NN_leg_1,P4,P6,300,A*,36,0.06461143493652344,2025-11-13 02:45:02.989883
NN_leg_1,P4,P1,500,A*,36,0.11444091796875,2025-11-13 02:45:02.990001
NN_leg_1,P4,P2,400,A*,36,0.08988380432128906,2025-11-13 02:45:02.990094
NN_leg_1,P4,P3,200,A*,36,0.029325485229492188,2025-11-13 02:45:02.990126
NN_leg_1,P4,P5,200,A*,36,0.029802322387695312,2025-11-13 02:45:02.990161
NN_leg_2,P3,P6,300,A*,36,0.05221366882324219,2025-11-13 02:45:02.990217
NN_leg_2,P3,P1,300,A*,36,0.051975250244140625,2025-11-13 02:45:02.990273
NN_leg_2,P3,P2,200,A*,36,0.02765655517578125,2025-11-13 02:45:02.990303
NN_leg_2,P3,P5,200,A*,36,0.027418136596679688,2025-11-13 02:45:02.990333
NN_leg_3,P2,P6,500,A*,36,0.072479248046875,2025-11-13 02:45:02.990410
NN_leg_3,P2,P1,100,A*,36,0.009775161743164062,2025-11-13 02:45:02.990423
NN_leg_3,P2,P5,400,A*,36,0.05269050598144531,2025-11-13 02:45:02.990479
